Move	Games	[%]	Win%	Black wins	Draws	White wins
Total	400831	100.0%	53.8%
1.  ... Nf6	205315	51.2%	50%	41%	18%	41%
1.  ... d5	125049	31.2%	56.6%	35%	17%	48%
1.  ... e6	22740	5.7%	59.1%	34%	14%	52%
1.  ... f5	11345	2.8%	55.4%	38%	13%	49%
1.  ... c5	9241	2.3%	62.5%	34%	7%	59%
1.  ... d6	8591	2.1%	57.9%	34%	16%	50%
1.  ... g6	7991	2%	60.9%	32%	14%	54%
1.  ... Nc6	2572	0.6%	62.3%	34%	7%	59%
1.  ... c6	2510	0.6%	67.4%	28%	9%	63%
1.  ... e5	1704	0.4%	61.4%	36%	5%	59%
1.  ... b6	1491	0.4%	62.5%	34%	7%	59%
1.  ... b5	627	0.2%	61.4%	35%	6%	58%
1.  ... f6	328	0.1%	77.3%	22%	2%	76%
1.  ... a6	281	0.1%	50.2%	46%	8%	46%
1.  ... h6	264	0.1%	56.8%	41%	4%	55%
1.  ... a5	227	0.1%	55.5%	41%	7%	52%
1.  ... h5	218	0.1%	65.1%	33%	4%	63%
1.  ... Na6	157	0%	44.6%	52%	7%	41%
1.  ... g5	115	0%	65.2%	32%	5%	63%
1.  ... Nh6	65	0%	56.9%	37%	12%	51%
