Move	Games	[%]	Win%	Black wins	Draws	White wins
Total	647874	100.0%	50.5%
1.  ... c5	230137	35.5%	47%	46%	14%	40%
1.  ... e5	206746	31.9%	51.2%	42%	14%	44%
1.  ... e6	78019	12%	54.2%	39%	14%	47%
1.  ... c6	45183	7%	48.6%	44%	15%	41%
1.  ... d5	25191	3.9%	55.2%	40%	9%	51%
1.  ... d6	20969	3.2%	57.2%	37%	12%	51%
1.  ... Nf6	14128	2.2%	53.3%	41%	11%	48%
1.  ... g6	11418	1.8%	57.8%	36%	12%	52%
1.  ... Nc6	8590	1.3%	55.3%	41%	8%	51%
1.  ... b6	3292	0.5%	56%	41%	6%	53%
1.  ... a6	1113	0.2%	42.7%	55%	5%	40%
1.  ... g5	568	0.1%	50.7%	46%	6%	48%
1.  ... f6	438	0.1%	61.2%	37%	3%	60%
1.  ... h5	391	0.1%	54.6%	44%	3%	53%
1.  ... a5	385	0.1%	51.8%	45%	6%	49%
1.  ... f5	380	0.1%	61.6%	37%	3%	60%
1.  ... h6	273	0%	52.2%	44%	8%	48%
1.  ... Na6	226	0%	37.2%	59%	7%	34%
1.  ... Nh6	214	0%	37.6%	60%	5%	35%
1.  ... b5	213	0%	61.7%	36%	5%	59%
