Move	Games	[%]	Win%	Black wins	Draws	White wins
Total	1284100	100.0%	52.3%
1. e4	652053	50.8%	50.6%	43%	13%	44%
1. d4	403573	31.4%	54%	38%	16%	46%
1. Nf3	83978	6.5%	56.3%	34%	20%	46%
1. c4	80629	6.3%	56.9%	35%	17%	48%
1. f4	13774	1.1%	52.1%	43%	9%	48%
1. e3	8291	0.6%	37%	60%	6%	34%
1. b3	7824	0.6%	50.2%	44%	11%	45%
1. g3	7699	0.6%	47.2%	46%	14%	40%
1. Nc3	7111	0.6%	52.4%	44%	7%	49%
1. g4	3954	0.3%	49.6%	48%	5%	47%
1. b4	3917	0.3%	50.4%	47%	6%	47%
1. d3	3124	0.2%	37.3%	59%	7%	34%
1. a3	1955	0.2%	47.1%	48%	10%	42%
1. c3	1636	0.1%	54.4%	43%	5%	52%
1. a4	1154	0.1%	62.7%	34%	6%	60%
1. h4	903	0.1%	42.5%	54%	6%	40%
1. f3	848	0.1%	43%	54%	6%	40%
1. h3	753	0.1%	47.5%	44%	7%	49%
1. Nh3	464	0%	51.8%	48%	7%	45%
1. Na3	460	0%	59.3%	56%	6%	38%
