potez	broj partija	bijeli dobiva	remi	crni dobiva
1. e4	843,172	37.6%	32.5%	29.9%
1. d4	 624,840	37.5%	35.4%	27%
1. Nf3	 168,442	37.1%	37.9%	25.1%
1. c4	 129,019	38%	36.1%	25.9%
1. g3	 12,397	37.8%	35.4%	26.8%
1. f4	 6,780	33.2%	24.7%	42.1%
1. b3	 6,672	37.2%	29.5%	33.3%
1. Nc3	 2,816	38.1%	25.4%	36.5%
1. b4	 1,685	31.9%	22.8%	45.2%
1. e3	 878	33.5%	20.6%	45.9%
1. d3	 643	37.6%	24.6%	37.8%
1. a3	 554	35.6%	21.7%	42.8%
1. g4	 458	44.8%	13.5%	41.7%
1. c3	 316	34.8%	22.8%	42.4%
1. h3	 127	47.2%	20.5%	32.3%
1. f3	 46	39.1%	10.9%	50%
1. Nh3	 41	56.1%	14.6%	29.3%
1. h4	 38	44.7%	18.4%	36.8%
1. Na3	 37	64.9%	10.8%	24.3%
1. a4	 23	30.4%	34.8%	34.8%
